Count, Time (ms), RSSI (dBm), Frequency (KHz), Timestamp (ms), EPC, Phase (Degrees)
240,196939,-59,920200,343,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
241,196972,-58,919400,375,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
242,197006,-56,921200,410,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
243,197043,-58,926600,446,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
244,197074,-58,926800,479,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
245,197117,-58,920800,522,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
246,197158,-58,924400,563,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
247,197204,-59,923800,610,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
248,197237,-58,921000,643,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
249,197279,-58,924600,685,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
250,197343,-58,922000,749,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
251,197391,-58,917800,797,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
252,197499,-59,922800,896,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
253,197505,-56,919000,908,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
254,197533,-56,917400,941,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
255,197568,-56,926400,976,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
256,197615,-56,924000,22,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
257,197639,-56,919800,46,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
258,197673,-52,926200,81,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
259,197718,-52,925000,126,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
260,197752,-53,918600,160,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
261,197784,-54,918800,193,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
262,197819,-56,923000,228,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
263,197853,-54,918200,262,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
264,197888,-54,927000,297,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
265,197921,-56,925400,331,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
266,198191,-59,925800,603,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
267,198256,-59,920600,668,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
268,198285,-59,924200,697,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
269,198321,-58,918000,733,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
270,198352,-56,927200,766,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
271,198387,-59,920000,801,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
272,198423,-57,921400,837,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
273,198457,-58,923400,871,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
274,198491,-58,925600,905,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
275,198523,-58,926000,937,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
276,198602,-57,924800,10,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
277,198641,-58,922600,49,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
278,198676,-56,921600,84,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
279,198710,-56,925200,118,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
280,198750,-58,918400,158,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
281,198831,-59,919200,240,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
282,198854,-59,923600,265,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
283,199217,-59,926600,629,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
